Headline,Body ID,Stance
Trump,1151,discuss
Trump,1445,discuss
Trump,2464,discuss
Trump,2533,discuss
Trump,2534,discuss
Trump,2535,discuss
Trump,2536,discuss
Trump,2537,discuss
Trump,2538,discuss
Trump,2552,discuss
Trump,2553,discuss
Trump,2554,discuss
Trump,2555,discuss
Trump,2556,discuss
Trump,2557,discuss
Trump,2558,discuss
Trump,2559,discuss
Trump,2560,discuss
Trump,2561,discuss
Trump,2562,discuss
Trump,2563,discuss
Trump,2564,discuss
Trump,2565,discuss
Trump,2566,discuss
Trump,2567,discuss
Trump,2573,discuss
Trump,2575,discuss
Trump,2583,discuss
Trump,2586,discuss
